Title: A mildly relativistic outflow from the energetic, fast-rising blue 
       optical transient CSS161010 in a dwarf galaxy 
Authors: Coppejans D.L., Margutti R., Terreran G., Nayana A.J., Coughlin E.R.,
    Laskar T., Alexander K.D., Bietenholz M., Caprioli D., Chandra P., 
    Drout M.R., Frederiks D., Frohmaier C., Hurley K.H, Kochanek C.S., 
    MacLeod M., Meisner A., Nugent P.E., Ridnaia A., Sand D.J., Svinkin D., 
    Ward C., Yang S., Baldeschi A., Chilingarian I.V., Esquivia C., Fong W., 
    Guidorzi C., Lundqvist, P., Milisavljevic D., Paterson K., Reichart D.E.,
    Shappee B., Stroh M.C., Valenti S., Zauderer B.A., Zhang B., 
Table: Radio Observations of CSS161010
================================================================================
Byte-by-byte Description of file: apjlab8cc7t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     yr      Obs.Y  Start Date, YYYY
   6-  7 I2     ---     Obs.M  Start Date, Month
   9- 10 I2     d       Obs.D  Start Date, Day in Month
  12- 14 I3     d       Time   Days since JD=2457668
  16- 20 F5.2   GHz     Freq   Frequency
  22- 26 F5.3   GHz     Band   Bandwidth
  28- 28 A1     ---   l_S      Limit flag for S
  29- 33 F5.3   mJy     S      Flux Density
  35- 39 F5.3   mJy   e_S      ?="" Uncertainty in S
  41- 44 A4     ---     Tel    Telescope
--------------------------------------------------------------------------------
2016 12 14  69  7.21 0.128  4.7   0.2   VLA  
2016 12 14  69  7.34 0.128  4.7   0.2   VLA  
2016 12 14  69  7.46 0.128  4.6   0.2   VLA  
2016 12 14  69  7.59 0.128  4.6   0.2   VLA  
2016 12 14  69  7.72 0.128  4.5   0.2   VLA  
2016 12 14  69  7.85 0.128  4.5   0.2   VLA  
2016 12 14  69  4.61 0.128  4.2   0.2   VLA  
2016 12 14  69  4.74 0.128  4.3   0.2   VLA  
2016 12 14  69  4.86 0.128  4.3   0.2   VLA  
2016 12 14  69  4.99 0.128  4.6   0.2   VLA  
2016 12 14  69  5.12 0.128  4.4   0.2   VLA  
2016 12 14  69  5.25 0.128  4.5   0.2   VLA  
2016 12 14  69  6.95 0.128  4.8   0.2   VLA  
2016 12 14  69  7.08 0.128  4.8   0.2   VLA  
2017 01 13  99  7.08 0.128  5.4   0.3   VLA  
2017 01 13  99  7.21 0.128  5.3   0.3   VLA  
2017 01 13  99  7.34 0.128  5.2   0.3   VLA  
2017 01 13  99  7.46 0.128  5.1   0.3   VLA  
2017 01 13  99  7.59 0.128  5.    0.3   VLA  
2017 01 13  99  7.72 0.128  5.    0.3   VLA  
2017 01 13  99  7.85 0.128  5.    0.3   VLA  
2017 01 13  99  4.35 0.128  6.9   0.4   VLA  
2017 01 13  99  4.48 0.128  7.    0.4   VLA  
2017 01 13  99  4.61 0.128  7.1   0.4   VLA  
2017 01 13  99  4.74 0.128  6.9   0.4   VLA  
2017 01 13  99  4.86 0.128  7.1   0.4   VLA  
2017 01 13  99  4.99 0.128  6.9   0.4   VLA  
2017 01 13  99  5.12 0.128  6.7   0.3   VLA  
2017 01 13  99  5.25 0.128  6.9   0.4   VLA  
